Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (%),Total Trades,Profit Factor,RSI Period,RSI Threshold
2627.1036107042337,52.41691498625989,-57.67577296852604,1.2200668762569717,1.5413685427999713,0.9088203293758034,45.41751527494908,1964,1.2799779052851172,5,45
3971.292451171347,60.40570059797004,-56.1533257625328,1.3862613255974767,1.7159878593866613,1.0757279248858764,44.91525423728814,1770,1.3481674778173993,5,50
8236.956844407681,75.75323151162017,-45.68987006130578,1.6867235775021392,2.049349990175529,1.6579874578320304,44.7351209941138,1529,1.4869611780770144,5,55
5985.62990124093,68.84010019196616,-42.543479031168104,1.66160172823732,1.8383544888398953,1.6181116767985215,45.08580343213728,1282,1.5390766217689977,5,60
5420.405400305426,66.75485929611986,-34.74436088136584,1.728250414940302,1.8865268961165862,1.9213149300415524,43.425925925925924,1080,1.644949986144213,5,65
6794.225538243599,71.54688468922782,-20.870469690399215,1.9056544832542874,1.9696119876565557,3.4281396514109432,44.30523917995444,878,1.8532067816193931,5,70
3603.5869682409752,58.48159852678243,-59.1731157820791,1.2996384207052303,1.6326546562339381,0.9883136582186517,47.07379134860051,1965,1.2967986349996283,7,45
5379.2265449689585,66.59576120144814,-54.31027186264681,1.480245543479396,1.789465085180937,1.2262093139557817,46.72514619883041,1710,1.3797136923340008,7,50
7097.018712686004,72.48949562947793,-46.424016363084206,1.6488283085837565,1.8890331827156377,1.5614654075281746,46.450723638869746,1451,1.48375252316045,7,55
6394.184472122783,70.2445292968749,-35.54430254646361,1.710596045028121,1.8585001697223555,1.9762528524803955,46.24373956594324,1198,1.5802512971716658,7,60
6379.005756381686,70.19374932912913,-24.804507795251617,1.8414055806005816,1.8607683577567664,2.8298787425472107,46.40591966173361,946,1.7478869212038888,7,65
4590.771466910994,63.328423490368245,-17.177463002545537,1.8091647779417641,1.629877280232678,3.686715755463049,47.527472527472526,728,1.8859660182103735,7,70
2895.0564116991836,54.24898455363001,-60.85399105821323,1.216354804997998,1.4927161618067815,0.8914614080403561,47.80413932357395,1981,1.2720193142297966,10,45
5449.904497946968,66.86819627138492,-49.61501746226889,1.475852076815738,1.6931667331129105,1.3477410609043257,48.824593128390596,1659,1.3786884031708133,10,50
6577.049348369585,70.84829643716124,-38.45582087465894,1.6283843746458604,1.7973142595251135,1.8423295830319364,48.31299353912419,1393,1.4789230244773217,10,55
6623.620497935568,70.99975396939384,-33.93082597490108,1.7577214415039883,1.7947283174173532,2.0924852823185898,48.16849816849817,1092,1.6281184464713765,10,60
5202.411936397904,65.90053825386057,-25.417446736008394,1.8082696672866316,1.696380152886115,2.5927284883615234,48.34355828220859,815,1.8062812616996435,10,65
1509.5127625172522,42.50750767105327,-25.233750639073815,1.422311228748035,1.1359020444873478,1.6845497238619567,46.141479099678456,622,1.6993985283832322,10,70
3623.9193852941194,58.5922540439501,-58.64545509784339,1.2771815544543363,1.5718937748741268,0.9990928358590699,48.754980079681275,2008,1.2830197454694072,14,45
4947.90857193251,64.8634643800694,-47.23470743212846,1.4519722603743348,1.6200073813756977,1.3732161773897233,49.50372208436725,1612,1.375966636655579,14,50
10749.192499924846,81.75506785984578,-39.781688230592934,1.8158707761545945,1.9687566383660582,2.0550929710663826,50.45385779122542,1322,1.5606743912374548,14,55
4182.111251628375,61.44144323934253,-34.751580625585014,1.626409301349166,1.6143539421067308,1.768018666584269,48.5629335976214,1009,1.5911489916862187,14,60
2162.177971830692,48.82792736667469,-25.313914187195074,1.5072467831690315,1.2505724717147662,1.928896772170227,48.11715481171548,717,1.6714978491539225,14,65
1216.4053287420784,38.90168889907579,-36.88723484878801,1.3885593634175357,1.0179399916148815,1.0546111428125649,47.74066797642436,509,1.7628685834545155,14,70
2745.1683406816064,53.24267804076861,-58.76125953824178,1.195169817366352,1.47918982330793,0.9060846969442226,48.748159057437405,2037,1.2603582160997895,17,45
4390.815881169885,62.42386552716286,-50.910279260820765,1.4005984642794722,1.5320802912692446,1.2261544511935658,49.84423676012461,1605,1.3597791615582793,17,50
11651.075949774464,83.6148503271833,-32.79985704859435,1.8511727857758198,1.9503156856600918,2.549244351989231,52.17729393468118,1286,1.580874376454669,17,55
3917.1577926066716,60.13219800581897,-36.21094259414123,1.6012814983327917,1.5379656974815465,1.6606084707540338,49.52978056426332,957,1.5968591059076986,17,60
1755.7883281836819,45.117828860227505,-30.255780574858687,1.449080359228538,1.1446409391092447,1.491213513682029,48.93292682926829,656,1.6704045907670768,17,65
1161.4705757342913,38.14889771208434,-28.000494510065298,1.4184119067487098,0.9883536982659578,1.3624365704816752,48.50574712643678,435,1.8731954927128869,17,70
2969.653841462125,54.733530380012276,-62.589805889638605,1.2132707617083416,1.4968756158193324,0.8744799508808367,48.90829694323144,2061,1.263432135524368,20,45
4150.042543607868,61.28680126915975,-49.53469099870865,1.389743646379953,1.5125209025562698,1.2372500975277605,50.589695841092485,1611,1.3551221747454276,20,50
10210.468427191583,80.5787505554299,-36.64156434804234,1.8187159171197727,1.9080514476482227,2.199107816196036,51.89873417721519,1264,1.5725156377407479,20,55
4013.433625368804,60.616421112279625,-35.507215123022256,1.6323866244394596,1.5319119292130723,1.707157852348071,50.71193866374589,913,1.6187798073585038,20,60
1461.4410735788554,41.95767958814105,-30.66199064552863,1.385007432060766,1.0669576280466884,1.3683938552195614,48.949919224555735,619,1.6496413948683393,20,65
1090.769119909872,37.13677523905024,-26.32614317425064,1.436697358265682,0.9750792091184779,1.4106424550396497,48.83116883116883,385,1.9647431196773306,20,70
3668.7960494359977,58.83463346598239,-67.14098883581609,1.251837710330697,1.467491778487027,0.8762848818008069,50.3358925143954,2084,1.2745014352877029,25,45
4136.477787278502,61.22108261839985,-54.48164864453493,1.3898769860405864,1.5314350034923985,1.1237009918300436,50.80946450809465,1606,1.3541946240614913,25,50
8150.690244554534,75.52032973160175,-33.916080138430885,1.7496730628536072,1.7933627536784476,2.2266821349448453,51.71261487050961,1197,1.5615353186537475,25,55
4493.860798193036,62.894311060426,-28.811808514062303,1.6753909438430947,1.5142151912002015,2.1829352027564983,51.28205128205128,858,1.6617748307539348,25,60
1228.895886731639,39.069019170425065,-32.64710143134865,1.3353342733112814,0.9786291800398316,1.196707133482604,49.45652173913043,552,1.6631433686815762,25,65
530.33350729827,26.45463712096079,-25.953928956874673,1.1676677709467607,0.7012957164655638,1.0192921913640935,47.53086419753087,324,1.8043066676287687,25,70
2928.21105743965,54.465624898567185,-71.00452269480041,1.1841905997163098,1.3999978516687541,0.7670726149752098,50.47169811320755,2120,1.2542937156436078,30,45
3232.410876446108,56.36220381288797,-54.14129605140051,1.3017768239810494,1.4094564218441092,1.0410205873050948,51.07958050586058,1621,1.3280614847019816,30,50
5558.497734680519,67.28093799838379,-39.80626725443236,1.6250150418889828,1.605421051786556,1.690209673977712,51.546391752577314,1164,1.5199788469974358,30,55
3999.8929388579954,60.548919173182945,-30.756064088504896,1.6505113199196475,1.4737732643683157,1.9686823059980927,51.37724550898204,835,1.6588282189037973,30,60
803.0863968552476,32.386279218093165,-29.355959944832083,1.2125176156895507,0.8318640237914133,1.1032267137220477,48.865979381443296,485,1.6223030488240253,30,65
432.0210257140376,23.750345415762418,-23.64234606720478,1.091952942398761,0.592413870331071,1.004568047022518,48.888888888888886,270,1.8294343884620774,30,70
2954.1449862179397,54.63364554153194,-69.30532025848329,1.183242619262143,1.3894327876512047,0.788303774338948,50.9185115402732,2123,1.253823809936237,35,45
3524.93449026943,58.0484936710048,-47.691308332329676,1.3371917175693282,1.4781227076529628,1.2171713400375315,50.67484662576687,1630,1.3371931867903846,35,50
4737.949899006784,63.97297403732465,-38.18911763077575,1.572329724785133,1.5385934846339524,1.675162402437135,51.05448154657294,1138,1.5055206013502007,35,55
2973.9506884610123,54.761126337119826,-27.035980091072766,1.5478162363312105,1.3534898266969304,2.0254907035976792,50.75187969924813,798,1.6205210470649563,35,60
557.8362395841347,27.145007124398425,-32.40874705497912,1.072334677232272,0.7149228582518395,0.8375827389546674,47.49455337690632,459,1.555227283538394,35,65
265.902412737988,17.983614915540215,-26.334011744518932,0.8914791914228127,0.44995226234739605,0.6829044921073699,46.15384615384615,234,1.678899284713512,35,70
2170.7760174770224,48.89992264375502,-73.09128198713445,1.0956897551509255,1.2965341867849207,0.6690253791466183,50.627615062761514,2151,1.2306625113499514,40,45
3833.2875099328144,59.70204490355056,-52.766711222428064,1.361484257821534,1.5126546774911427,1.1314338817116707,50.82066869300912,1645,1.3434330918941244,40,50
5329.6812066573675,66.4029498417092,-36.306389060271755,1.6144176471093032,1.5543892513710726,1.8289604546316778,52.27686703096539,1098,1.5297737077491178,40,55
1907.4442844756784,46.578406492176214,-27.413878782647856,1.4071841080273642,1.1721653176887947,1.6990812158131712,50.534759358288774,748,1.5658482531684395,40,60
556.9041175697477,27.122025088708824,-31.052446594218154,1.0791204126051261,0.678247122779937,0.8734263500435048,48.201438848920866,417,1.5922170341507775,40,65
265.14706119958163,17.9525362337422,-21.874273746613415,0.9188109204989725,0.4196515244839544,0.8207146185377524,47.8494623655914,186,1.8026965479243342,40,70
